plate,column,row,sample
D03,3,e,3564
D03,3,f,3565
D03,3,g,3566
D03,3,h,3567
D03,4,a,3568
D03,4,b,3569
D03,4,c,3571
D03,4,d,3572
D03,4,e,3573
D03,4,f,3574
D03,4,g,3575
D03,4,h,3587
D03,5,a,3588
D03,5,b,3589
D03,5,c,3591
D03,5,d,3592
D03,5,e,3593
D03,5,f,3594
D03,5,g,3595
D03,5,h,3596
D03,6,a,3597
D03,6,b,3598
D03,6,c,3599
D03,6,d,3911
D03,6,e,3912
D03,6,f,3913
D03,6,g,3914
D03,6,h,3915
D03,7,a,3916
D03,7,b,3917
D03,7,c,3918
D03,7,d,3919
D03,7,e,3921
D03,7,f,3922
D03,7,g,3923
D03,7,h,3924
D03,8,a,3925
D03,8,b,3926
D03,8,c,3927
D03,8,d,3928
D03,8,e,3929
D03,8,f,3931
D03,8,g,3932
D03,8,h,3933
D03,9,a,3934
D03,9,b,3935
D03,9,c,3936
D03,9,d,3938
D03,9,e,3939
D03,9,f,3941
D03,9,g,3942
D03,9,h,3943
D03,10,a,3944
D03,10,b,3945
D03,10,c,3946
D03,10,d,3947
D03,10,e,3948
D03,10,f,3949
D03,10,g,3951
D03,10,h,3952
D03,11,a,3953
D03,11,b,3954
D03,11,c,3955
D03,11,d,3956
D03,11,e,3957
D03,11,f,3958
D03,11,g,3959
D03,11,h,3961
D03,12,a,3962
D03,12,b,3963
D03,12,c,3964
D03,12,d,3965
D03,12,e,3966
D03,12,f,3967
D03,12,g,3968
D03,12,h,0
D02,1,a,5126
D02,1,b,5127
D02,1,c,5128
D02,1,d,5129
D02,1,e,5131
D02,1,f,5132
D02,1,g,5133
D02,1,h,5134
D02,2,a,5135
D02,2,b,5136
D02,2,c,5137
D02,2,d,5138
D02,2,e,5139
D02,2,f,5141
D02,2,g,5142
D02,2,h,5143
D02,3,a,5144
D02,3,b,5145
D02,3,c,5146
D02,3,d,5147
D02,3,e,5148
D02,3,f,5149
D02,3,g,5151
D02,3,h,5152
D02,4,a,5153
D02,4,b,5154
D02,4,c,5155
D02,4,d,5156
D02,4,e,5157
D02,4,f,5158
D02,4,g,5159
D02,4,h,5161
D02,5,a,5162
D02,5,b,5163
D02,5,c,5164
D02,5,d,5165
D02,5,e,5166
D02,5,f,5167
D02,5,g,5168
D02,5,h,5169
D02,6,a,5171
D02,6,b,5172
D02,6,c,5173
D02,6,d,5174
D02,6,e,5175
D02,6,f,5176
D02,6,g,5177
D02,6,h,5178
D02,7,a,5179
D02,7,b,5181
D02,7,c,5182
D02,7,d,5183
D02,7,e,5184
D02,7,f,5185
D02,7,g,5186
D02,7,h,5187
D02,8,a,5188
D02,8,b,5189
D02,8,c,5191
D02,8,d,5192
D02,8,e,5193
D02,8,f,5194
D02,8,g,5195
D02,8,h,5196
D02,9,a,5197
D02,9,b,5198
D02,9,c,5199
D02,9,d,3511
D02,9,e,3512
D02,9,f,3513
D02,9,g,3514
D02,9,h,3515
D02,10,a,3516
D02,10,b,3517
D02,10,c,3518
D02,10,d,3519
D02,10,e,3521
D02,10,f,3522
D02,10,g,3523
D02,10,h,3524
D02,11,a,3525
D02,11,b,3526
D02,11,c,3527
D02,11,d,3528
D02,11,e,3529
D02,11,f,3531
D02,11,g,3532
D02,11,h,3533
D02,12,a,3534
D02,12,b,3535
D02,12,c,3536
D02,12,d,3537
D02,12,e,3538
D02,12,f,3539
D02,12,g,3541
D02,12,h,0
D01,1,a,4311
D01,1,b,4312
D01,1,c,4313
D01,1,d,4314
D01,1,e,4315
D01,1,f,4316
D01,1,g,4316
D01,1,h,4318
D01,2,a,4319
D01,2,b,4321
D01,2,c,4322
D01,2,d,4323
D01,2,e,4324
D01,2,f,4325
D01,2,g,4326
D01,2,h,4327
D01,3,a,4328
D01,3,b,4329
D01,3,c,4331
D01,3,d,4332
D01,3,e,4333
D01,3,f,4334
D01,3,g,4335
D01,3,h,4336
D01,4,a,4337
D01,4,b,4338
D01,4,c,4339
D01,4,d,4341
D01,4,e,4342
D01,4,f,4343
D01,4,g,4344
D01,4,h,4345
D01,5,a,4346
D01,5,b,4347
D01,5,c,4348
D01,5,d,4349
D01,5,e,4351
D01,5,f,4352
D01,5,g,4353
D01,5,h,4354
D01,6,a,4355
D01,6,b,4356
D01,6,c,4357
D01,6,d,4358
D01,6,e,4359
D01,6,f,4361
D01,6,g,4362
D01,6,h,4363
D01,7,a,4364
D01,7,b,4365
D01,7,c,4366
D01,7,d,4367
D01,7,e,4368
D01,7,f,4369
D01,7,g,4371
D01,7,h,4372
D01,8,a,4373
D01,8,b,4374
D01,8,c,4375
D01,8,d,4376
D01,8,e,4377
D01,8,f,4378
D01,8,g,4379
D01,8,h,4381
D01,9,a,4382
D01,9,b,4383
D01,9,c,4384
D01,9,d,4385
D01,9,e,4386
D01,9,f,4387
D01,9,g,4388
D01,9,h,4389
D01,10,a,4391
D01,10,b,4392
D01,10,c,4393
D01,10,d,4394
D01,10,e,4395
D01,10,f,4396
D01,10,g,4397
D01,10,h,4398
D01,11,a,4399
D01,11,b,5111
D01,11,c,5112
D01,11,d,5113
D01,11,e,5114
D01,11,f,5115
D01,11,g,5116
D01,11,h,5117
D01,12,a,5118
D01,12,b,5119
D01,12,c,5121
D01,12,d,5122
D01,12,e,5123
D01,12,f,5124
D01,12,g,5125
D01,12,h,0
