site,tree_id,time_date,direction,replicate,rna,dna
MC,623,2022-08-03T14:25:00Z,West,Control,4451,4551
MD,1425,2022-08-03T10:50:00Z,North,1,4093,4193
MD,1425,2022-08-03T10:50:00Z,North,2,4094,4194
MD,1425,2022-08-03T10:50:00Z,North,3,4095,4195
MD,1425,2022-08-03T10:50:00Z,North,4,4096,4196
MD,1425,2022-08-03T10:50:00Z,North,Control,4097,4197
MD,1425,2022-08-03T10:50:00Z,East,1,4086,4186
MD,1425,2022-08-03T10:50:00Z,East,2,4087,4187
MD,1425,2022-08-03T10:50:00Z,East,3,4088,4188
MD,1425,2022-08-03T10:50:00Z,East,4,4089,4189
MD,1425,2022-08-03T10:50:00Z,East,5,4091,4191
MD,1425,2022-08-03T10:50:00Z,East,Control,4092,4192
MD,1425,2022-08-03T10:50:00Z,South,1,4079,4179
MD,1425,2022-08-03T10:50:00Z,South,2,4081,4181
MD,1425,2022-08-03T10:50:00Z,South,3,4082,4182
MD,1425,2022-08-03T10:50:00Z,South,4,4083,4183
MD,1425,2022-08-03T10:50:00Z,South,5,4084,4184
MD,1425,2022-08-03T10:50:00Z,South,Control,4085,4185
MD,1425,2022-08-03T10:50:00Z,West,1,4098,4198
MD,1425,2022-08-03T10:50:00Z,West,2,4099,4199
MD,1425,2022-08-03T10:50:00Z,West,3,4211,4311
MD,1425,2022-08-03T10:50:00Z,West,4,4212,4312
MD,1425,2022-08-03T10:50:00Z,West,5,4213,4313
MD,1425,2022-08-03T10:50:00Z,West,Control,4214,4314
MD,1448,2022-08-03T10:20:00Z,North,1,4067,4167
MD,1448,2022-08-03T10:20:00Z,North,2,4068,4168
MD,1448,2022-08-03T10:20:00Z,North,3,4069,4169
MD,1448,2022-08-03T10:20:00Z,North,4,4071,4171
MD,1448,2022-08-03T10:20:00Z,North,Control,4072,4172
MD,1448,2022-08-03T10:20:00Z,East,1,4061,4161
MD,1448,2022-08-03T10:20:00Z,East,2,4062,4162
MD,1448,2022-08-03T10:20:00Z,East,3,4063,4163
MD,1448,2022-08-03T10:20:00Z,East,4,4064,4164
