dna,tree_id,direction,replicate,plot,elevation
2333,2127,West,3,B,H
2334,2127,West,4,B,H
2335,2127,West,5,B,H
2336,2127,West,6,B,H
1995,179,North,1,E,L
1996,179,North,2,E,L
1997,179,North,3,E,L
1998,179,North,4,E,L
1999,179,North,5,E,L
2111,179,North,6,E,L
1988,179,East,1,E,L
1989,179,East,2,E,L
1991,179,East,3,E,L
1992,179,East,4,E,L
1993,179,East,5,E,L
1994,179,East,6,E,L
1983,179,South,1,E,L
1984,179,South,2,E,L
1985,179,South,3,E,L
1986,179,South,4,E,L
1987,179,South,6,E,L
2114,179,West,3,E,L
2115,179,West,4,E,L
2116,179,West,6,E,L
1972,186,North,1,E,L
1973,186,North,2,E,L
1974,186,North,3,E,L
1975,186,North,4,E,L
1976,186,North,6,E,L
1965,186,East,1,E,L
1966,186,East,2,E,L
1967,186,East,3,E,L
1968,186,East,4,E,L
1969,186,East,5,E,L
1971,186,East,6,E,L
1958,186,South,1,E,L
1959,186,South,2,E,L
1961,186,South,3,E,L
1962,186,South,4,E,L
1963,186,South,5,E,L
1964,186,South,6,E,L
1977,186,West,1,E,L
1978,186,West,2,E,L
1979,186,West,3,E,L
1981,186,West,4,E,L
1982,186,West,6,E,L
1747,248,North,1,D,L
1748,248,North,2,D,L
1751,248,North,4,D,L
1752,248,North,5,D,L
1753,248,North,6,D,L
1742,248,East,1,D,L
1743,248,East,2,D,L
1744,248,East,3,D,L
1745,248,East,4,D,L
1746,248,East,6,D,L
1731,248,South,1,D,L
1732,248,South,2,D,L
1733,248,South,3,D,L
1734,248,South,4,D,L
1735,248,South,6,D,L
1736,248,West,1,D,L
1741,248,West,6,D,L
